x,j₀(x),j₁(x),j₂(x),j₃(x),y₀(x),y₁(x),j₀_scaled(x),j₁_scaled(x)
2.400000,0.2814429919,0.4245152948,0.2492011266,0.0946537189,0.3072473815,-0.1534232496,1.0000000000,-2.8400000000
2.500000,0.2393888576,0.4162129893,0.2600667295,0.1039204697,0.3204574462,-0.1112058792,1.0000000000,-3.1666666667
2.600000,0.1982697584,0.4058301968,0.2699958533,0.1133925980,0.3295725974,-0.0715110671,1.0000000000,-3.5066666667
2.700000,0.1582888445,0.3934670321,0.2788967466,0.1230084247,0.3348415341,-0.0342734615,1.0000000000,-3.8600000000
2.800000,0.1196386251,0.3792360592,0.2866857241,0.1327027338,0.3365079788,0.0005427959,1.0000000000,-4.2266666667
2.900000,0.0824997687,0.3632613565,0.2932878415,0.1424073357,0.3348131604,0.0329530452,1.0000000000,-4.6066666667
3.000000,0.0470400027,0.3456774998,0.2986374971,0.1520516620,0.3299974989,0.0629591636,1.0000000000,-5.0000000000
3.100000,0.0134131169,0.3266284733,0.3026789540,0.1615633880,0.3223016614,0.0905551610,1.0000000000,-5.4066666667
3.200000,-0.0182419198,0.3062665175,0.3053667800,0.1708690762,0.3119671174,0.1157316440,1.0000000000,-5.8266666667
3.300000,-0.0478017255,0.2847509225,0.3066662005,0.1798948358,0.2992362939,0.1384793903,1.0000000000,-6.2600000000
3.400000,-0.0751591477,0.2622467779,0.3065533635,0.1885669919,0.2843524096,0.1587922093,1.0000000000,-6.7066666667
3.500000,-0.1002237793,0.2389236880,0.3050155119,0.1968127576,0.2675590535,0.1766692232,1.0000000000,-7.1666666667
3.600000,-0.1229223454,0.2149544642,0.3020510655,0.2045609046,0.2490995601,0.1921166676,1.0000000000,-7.6400000000
3.700000,-0.1431989570,0.1905138040,0.2976696089,0.2117424242,0.2292162248,0.2051492880,1.0000000000,-8.1266666667
3.800000,-0.1610152345,0.1657769678,0.2918917879,0.2182911743,0.2081493979,0.2157913918,1.0000000000,-8.6266666667
3.900000,-0.1763502972,0.1409184633,0.2847491152,0.2241445048,0.1861364883,0.2240776019,1.0000000000,-9.1400000000
4.000000,-0.1892006238,0.1161107493,0.2762836858,0.2292438580,0.1634109052,0.2300533501,1.0000000000,-9.6666666667
4.100000,-0.1995797832,0.0915229667,0.2665478076,0.2335353353,0.1402009626,0.2337751399,1.0000000000,-10.2066666667
4.200000,-0.2075180411,0.0673197096,0.2556035479,0.2369702284,0.1167287670,0.2353106046,1.0000000000,-10.7600000000
